Barrio,abigeato,amenazas,delitos-sexuales,homicidios,hurto-a-entidades-financieras,hurto-comercio,hurto-de-automotores,hurto-de-motocicletas,hurto-personas,lesiones-personales,pirateria-terrestre
LAS LOMAS 1 C-14,0.0,0.0,2.0,0.0,0.0,16.0,0.0,1.0,45.0,4.0,0.0
LAS LOMAS 2 C-14,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,19.0,1.0,0.0
LAS MARGARITAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
LAS MARGARITAS S.C.,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,4.0,3.0,0.0
LAS MERCEDES C-16,0.0,0.0,3.0,2.0,0.0,9.0,0.0,13.0,19.0,13.0,0.0
LAS PALMAS C-10,0.0,0.0,5.0,2.0,0.0,7.0,1.0,25.0,39.0,16.0,0.0
LAS PALMAS CNO REPORTADA10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAS PLAYAS C-16,0.0,0.0,11.0,0.0,0.0,5.0,3.0,13.0,61.0,18.0,0.0
LAS VIOLETAS C-16,0.0,0.0,8.0,0.0,0.0,4.0,2.0,5.0,23.0,35.0,0.0
LAURELES C-11,0.0,0.0,15.0,1.0,2.0,86.0,33.0,34.0,512.0,36.0,0.0
LAURELES CNO REPORTADA11,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIMONAR 1  S.A.P.,0.0,1.0,8.0,7.0,0.0,4.0,3.0,1.0,15.0,16.0,0.0
LIMONAR 2  S.A.P.,0.0,0.0,3.0,1.0,0.0,2.0,2.0,1.0,9.0,16.0,0.0
LLANADITAS C-8,0.0,0.0,15.0,3.0,0.0,6.0,0.0,5.0,4.0,34.0,0.0
LOMA BAJA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
LOPEZ DE MESA C-7,0.0,0.0,6.0,4.0,0.0,10.0,3.0,18.0,35.0,13.0,0.0
LORENA C-11,0.0,0.0,6.0,4.0,2.0,23.0,8.0,6.0,75.0,23.0,0.0
LORETO  C-9,0.0,0.0,11.0,1.0,0.0,7.0,3.0,13.0,23.0,51.0,0.0
LOS ALCAZARES C-13,0.0,0.0,7.0,7.0,0.0,13.0,6.0,11.0,37.0,9.0,0.0
LOS ALCAZARES CNO REPORTADA13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOS ALPES C-16,0.0,0.0,1.0,1.0,0.0,15.0,1.0,9.0,60.0,13.0,0.0
LOS ANGELES C-10,0.0,0.0,6.0,0.0,0.0,11.0,0.0,39.0,82.0,9.0,0.0
LOS BALSOS 1 C-14,0.0,0.0,1.0,0.0,0.0,13.0,2.0,5.0,28.0,7.0,0.0
LOS BALSOS 2 C-14,0.0,0.0,0.0,1.0,0.0,71.0,0.0,0.0,45.0,2.0,0.0
LOS CERROS EL VERGEL  C-9,0.0,0.0,6.0,1.0,0.0,3.0,6.0,14.0,17.0,34.0,0.0
LOS COLORES C-11,0.0,0.0,6.0,1.0,0.0,23.0,6.0,24.0,182.0,23.0,0.0
LOS COLORES CNO REPORTADA11,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOS MANGOS C-8,0.0,0.0,14.0,2.0,0.0,11.0,1.0,16.0,15.0,29.0,0.0
LOS NARANJOS C-14,0.0,0.0,3.0,1.0,0.0,27.0,0.0,1.0,38.0,9.0,0.0
LOS PATIOS  S.A.P.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0
LOS PINOS C-12,0.0,0.0,1.0,0.0,0.0,10.0,3.0,16.0,60.0,9.0,0.0
LOS SALINAS  S.A.P.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
LOYOLA  C-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MANILA C-14,0.0,0.0,3.0,0.0,0.0,39.0,0.0,14.0,199.0,12.0,0.0
MANRIQUE CENTRAL No. 1  C-4,0.0,0.0,16.0,4.0,0.0,29.0,10.0,105.0,103.0,35.0,0.0
MANRIQUE CENTRAL No. 2  C-3,0.0,0.0,12.0,1.0,0.0,13.0,4.0,56.0,84.0,37.0,0.0
MANRIQUE CENTRAL No. 2  CNO REPORTADA3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MANRIQUE ORIENTAL C-3,0.0,0.0,13.0,4.0,0.0,5.0,3.0,9.0,49.0,25.0,0.0
MANZANARES C-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MANZANILLO C-16,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
MARIA CANO - CARAMBOLAS  C-3,0.0,0.0,10.0,1.0,0.0,2.0,0.0,3.0,6.0,18.0,0.0
MAYORCA C-15,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0
METROPOLITANO C-13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
MIRADOR DEL DOCE  C-6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0
MIRAFLORES  C-9,0.0,0.0,7.0,0.0,0.0,9.0,4.0,21.0,47.0,10.0,0.0
MIRAFLORES  CNO REPORTADA9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIRAMAR C-6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0
MIRANDA  C-4,0.0,0.0,1.0,5.0,0.0,6.0,3.0,13.0,63.0,10.0,0.0
MIRAVALLE C-16,0.0,0.0,0.0,0.0,0.0,5.0,4.0,13.0,24.0,5.0,0.0
MONTECLARO C-7,0.0,0.0,2.0,2.0,0.0,6.0,7.0,15.0,6.0,11.0,0.0
MORAVIA  C-4,0.0,0.0,26.0,7.0,0.0,18.0,2.0,36.0,104.0,125.0,0.0
MORAVIA  CNO REPORTADA4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOSCU 1  C-2,0.0,0.0,12.0,1.0,0.0,3.0,1.0,11.0,19.0,40.0,0.0
MOSCU 2 C-1,0.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,11.0,29.0,0.0
NARANJAL C-11,0.0,0.0,7.0,1.0,1.0,89.0,8.0,16.0,263.0,15.0,0.0
NARANJITOS  S.A.P.,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
NAZARETH C-7,0.0,0.0,6.0,0.0,0.0,1.0,2.0,10.0,7.0,13.0,0.0
NAZARETH CNO REPORTADA7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOEL C-15,0.0,0.0,0.0,1.0,0.0,16.0,2.0,18.0,37.0,4.0,0.0
NUEVA VILLA DE ABURRA C-16,0.0,0.0,0.0,0.0,0.0,4.0,2.0,9.0,45.0,6.0,0.0
NUEVA VILLA DE LA IGUANA C-7,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,7.0,3.0,0.0
NUEVOS CONQUISTADORES C-13,0.0,0.0,12.0,4.0,0.0,2.0,0.0,2.0,11.0,13.0,0.0
OCHO DE MARZO  C-9,0.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0
OLAYA HERRERA C-7,0.0,0.0,11.0,1.0,0.0,3.0,4.0,14.0,22.0,13.0,0.0
OLAYA HERRERA CNO REPORTADA7,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLEODUCTO C-5,0.0,0.0,1.0,1.0,0.0,7.0,1.0,16.0,12.0,3.0,0.0
ORIENTE  C-3,0.0,0.0,14.0,2.0,0.0,4.0,0.0,4.0,12.0,15.0,0.0
PABLO VI  C-2,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,6.0,8.0,0.0
PAJARITO C-7,0.0,0.0,5.0,0.0,0.0,7.0,2.0,14.0,12.0,14.0,0.0
PAJARITO CNO REPORTADA7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PALENQUE 1 C-7,0.0,0.0,4.0,0.0,0.0,5.0,2.0,3.0,23.0,12.0,0.0
PALENQUE 1 CNO REPORTADA7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PALENQUE S.C.,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0
PALERMO  C-4,0.0,0.0,5.0,2.0,0.0,6.0,0.0,15.0,18.0,14.0,0.0
PALO BLANCO  S.A.P.,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
PARQUE JUAN PABLO II C-15,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,14.0,6.0,0.0
PARQUE NORTE C-4,0.0,0.0,102.0,0.0,2.0,23.0,2.0,14.0,105.0,21.0,2.0
PARQUE NORTE CNO REPORTADA4,0.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PATIO BONITO C-14,0.0,0.0,3.0,0.0,0.0,33.0,2.0,10.0,179.0,17.0,0.0
PATIO BONITO CNO REPORTADA14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEDREGAL C-6,0.0,0.0,22.0,3.0,0.0,19.0,6.0,45.0,61.0,66.0,0.0
PEDREGAL CNO REPORTADA6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PERPETUO SOCORRO C-10,0.0,0.0,6.0,2.0,1.0,100.0,9.0,51.0,265.0,25.0,0.0
PICACHITO C-6,0.0,0.0,2.0,0.0,0.0,6.0,2.0,5.0,7.0,8.0,0.0
PICACHO C-6,0.0,0.0,20.0,2.0,0.0,9.0,2.0,29.0,18.0,52.0,0.0
PLAYA RICA S.C.,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0
PLAZA DE FERIAS C-5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,16.0,1.0,0.0
POBLEMAR S.C.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
POPULAR 1 C-1,0.0,0.0,31.0,4.0,0.0,23.0,0.0,20.0,19.0,46.0,0.0
POPULAR 1 CNO REPORTADA1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POPULAR 2 C-1,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0
PRADITO  S.A.P.,0.0,0.0,2.0,0.0,0.0,9.0,6.0,5.0,18.0,13.0,0.0
PRADO C-10,0.0,0.0,26.0,5.0,0.0,70.0,11.0,110.0,483.0,80.0,0.0
PRADO CNO REPORTADA10,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROGRESO 2 C-6,0.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,3.0,9.0,0.0
PROGRESO C-5,0.0,0.0,3.0,1.0,0.0,13.0,1.0,8.0,35.0,6.0,0.0
ROBLEDO C-7,0.0,0.0,35.0,4.0,0.0,51.0,18.0,108.0,195.0,26.0,0.0
ROBLEDO CNO REPORTADA7,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROBLEMAR S.C.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0
ROSALES C-16,0.0,0.0,1.0,0.0,0.0,26.0,20.0,28.0,117.0,18.0,0.0
ROSALES CNO REPORTADA16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAMARIA DEL SUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SAN ANTONIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SAN ANTONIO C-8,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,20.0,10.0,0.0
SAN ANTONIO CNO REPORTADA8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN BENITO C-10,0.0,0.0,11.0,7.0,1.0,89.0,5.0,65.0,367.0,81.0,0.0
SAN BENITO CNO REPORTADA10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN BERNARDO C-16,0.0,0.0,8.0,4.0,0.0,14.0,10.0,30.0,74.0,37.0,0.0
SAN DIEGO C-10,0.0,0.0,8.0,1.0,0.0,97.0,4.0,36.0,276.0,29.0,0.0
SAN DIEGO CNO REPORTADA10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN FERNANDO,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
SAN GERMAN C-7,0.0,0.0,11.0,1.0,0.0,13.0,5.0,24.0,75.0,24.0,0.0
SAN GERMAN CNO REPORTADA7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN ISIDRO  C-4,0.0,0.0,16.0,3.0,0.0,17.0,2.0,13.0,28.0,15.0,0.0
SAN JAVIER 1 C-13,0.0,0.0,13.0,3.0,0.0,19.0,9.0,36.0,72.0,36.0,0.0
SAN JAVIER 1 CNO REPORTADA13,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN JAVIER 2 C-13,0.0,0.0,9.0,4.0,0.0,6.0,1.0,9.0,34.0,20.0,0.0
SAN JAVIER 2 CNO REPORTADA13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN JAVIER LA LOMA C-13,0.0,0.0,9.0,0.0,0.0,1.0,1.0,8.0,6.0,3.0,0.0
SAN JOAQUIN C-11,0.0,0.0,3.0,2.0,0.0,19.0,19.0,11.0,86.0,12.0,0.0
SAN JOSE DE LA CIMA 1  C-3,0.0,0.0,5.0,0.0,0.0,1.0,0.0,3.0,3.0,12.0,0.0
SAN JOSE DE LA CIMA 2  C-3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
SAN LORENZO  S.A.P.,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,5.0,0.0
SAN LUCAS C-14,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,23.0,5.0,0.0
SAN MARTIN DE PORRES C-6,0.0,0.0,11.0,2.0,0.0,5.0,9.0,22.0,14.0,25.0,0.0
SAN MIGUEL C-8,0.0,0.0,3.0,0.0,0.0,16.0,1.0,27.0,61.0,12.0,0.0
SAN PABLO C-1,0.0,0.0,12.0,0.0,0.0,1.0,0.0,6.0,16.0,42.0,0.0
SAN PABLO C-15,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0
SAN PABLO CNO REPORTADA1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN PEDRO  C-4,0.0,0.0,2.0,2.0,0.0,4.0,3.0,19.0,61.0,20.0,0.0
SAN PEDRO  CNO REPORTADA4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN RAFAEL C-15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
SAN VICENTE  S.A.P.,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0
SANTA CECILIA C-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0
SANTA CRUZ  C-2,0.0,0.0,24.0,1.0,0.0,11.0,3.0,23.0,25.0,44.0,0.0
SANTA FE C-15,0.0,0.0,6.0,2.0,0.0,40.0,32.0,15.0,114.0,24.0,0.0
SANTA INES  C-3,0.0,0.0,20.0,3.0,0.0,6.0,1.0,13.0,30.0,32.0,0.0
SANTA LUCIA C-12,0.0,0.0,4.0,1.0,0.0,5.0,4.0,13.0,46.0,11.0,0.0
SANTA LUCIA CNO REPORTADA12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANTA MARGARITA C-7,0.0,0.0,16.0,1.0,0.0,3.0,0.0,9.0,13.0,19.0,0.0
SANTA MARGARITA CNO REPORTADA7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANTA MARIA DE LOS ANGELES C-14,0.0,0.0,1.0,0.0,0.0,18.0,4.0,7.0,128.0,9.0,0.0
SANTA MONICA C-12,0.0,0.0,2.0,3.0,0.0,6.0,6.0,22.0,45.0,14.0,0.0
SANTA RITA  S.A.P.,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0
SANTA ROSA DE LIMA C-13,0.0,0.0,5.0,1.0,0.0,2.0,0.0,7.0,15.0,12.0,0.0
SANTA TERESITA C-12,0.0,0.0,0.0,1.0,0.0,1.0,3.0,10.0,34.0,6.0,0.0
SANTANDER C-6,0.0,0.0,17.0,1.0,0.0,9.0,3.0,24.0,15.0,46.0,0.0
SANTANDER CNO REPORTADA6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANTO DOMINGO  1 C-1,0.0,0.0,42.0,4.0,0.0,18.0,1.0,23.0,29.0,107.0,0.0
SANTO DOMINGO  2 C-1,0.0,0.0,8.0,2.0,0.0,2.0,0.0,2.0,7.0,5.0,0.0
SEVILLA  C-4,0.0,0.0,2.0,2.0,0.0,70.0,5.0,27.0,292.0,21.0,0.0
SHELLMAR C-15,0.0,0.0,0.0,0.0,0.0,13.0,0.0,17.0,47.0,9.0,0.0
SIMESA C-14,0.0,0.0,2.0,0.0,0.0,85.0,1.0,19.0,142.0,9.0,0.0
SIMON BOLIVAR C-12,0.0,0.0,1.0,0.0,0.0,10.0,7.0,16.0,93.0,8.0,0.0
SUCRE C-8,0.0,0.0,4.0,0.0,0.0,8.0,3.0,26.0,52.0,14.0,0.0
SURAMERICANA C-11,0.0,0.0,3.0,0.0,1.0,71.0,3.0,17.0,176.0,19.0,0.0
SURAMERICANA CNO REPORTADA11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEJELO C-5,0.0,0.0,2.0,1.0,0.0,28.0,2.0,35.0,36.0,28.0,0.0
TENCHE C-15,0.0,0.0,0.0,1.0,0.0,13.0,1.0,8.0,36.0,4.0,0.0
TOSCANA C-5,0.0,0.0,7.0,3.0,0.0,8.0,1.0,37.0,29.0,23.0,0.0
TRICENTENARIO C-5,0.0,0.0,7.0,2.0,0.0,4.0,5.0,72.0,79.0,12.0,0.0
TRICENTENARIO CNO REPORTADA5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRINIDAD C-15,0.0,0.0,10.0,3.0,0.0,43.0,7.0,36.0,112.0,38.0,0.0
TRINIDAD C-16,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,0.0
TRINIDAD CNO REPORTADA15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U.D. ATANASIO GIRARDOT C-11,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,45.0,2.0,0.0
UINIVERSIDAD DE ANTIOQUIA  C-4,0.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,63.0,4.0,0.0
UINIVERSIDAD DE ANTIOQUIA  CNO REPORTADA4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNIVERSIDAD NACIONAL C-7,0.0,0.0,6.0,2.0,0.0,13.0,1.0,21.0,65.0,3.0,0.0
UNIVERSIDAD NACIONAL CNO REPORTADA7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
URB. AIRES DEL PRADO  S.A.P.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
URB. CAMPIÑAS DE SAN ANTONIO  S.A.P.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
URB. CIUDADELA PRADO  S.A.P.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
URB. COMPARTIR  S.A.P.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
URB. FLORES Y COLORES  S.A.P.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
URB. HECHIZO DE LUNA  S.A.P.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
URB. PRADOS DEL DUQUE  S.A.P.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
URB. PRADOS DEL ESTE  S.A.P.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
URB. ROSALEDA  S.A.P.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
URB. VILLA LOMA  S.A.P.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
VALLEJUELOS S.C.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VDA.  EL PLAN STA. E.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0
VDA. AGUAS FRIAS,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0
VDA. BARRO BLANCO STA. E.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0
VDA. BOQUERON S.C.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
VDA. BUGA-PATIO BONITO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
VDA. EL ASTILLERO S.A.P.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
VDA. EL CARMELO S.C.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
VDA. EL CERRO STA. E.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
VDA. EL CORAZÓN-EL MORRO,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
VDA. EL JARDIN C-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VDA. EL JARDIN CNO REPORTADA16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDA. EL JARDÍN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDA. EL LLANO S.C.,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0
VDA. EL LLANO STA. E.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0
VDA. EL MAZO STA. E.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0
VDA. EL NARANJAL S.C.,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
VDA. EL PATIO S.C.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDA. EL PICACHO S.C.,0.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
VDA. EL PLACER STA. E.,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
VDA. EL SALADO S.A.P.,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0
VDA. EL TAMBO STA. E.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0
VDA. EL TEJAR S.C.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
VDA. EL UVITO S.C.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
VDA. EL VERGEL S.A.P.,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
VDA. GUAYABAL - PALMITAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
VDA. HERMOSA S.C.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDA. JALISCO S.C.,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
VDA. LA ALDEA - PALMITAS,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
VDA. LA CABAÑA S.A.P.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
VDA. LA CRUZ - PALMITAS,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDA. LA CUCHILLA S.C.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0
VDA. LA CUMBRE S.C.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
VDA. LA FLORIDA S.A.P.,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
VDA. LA FRISOLA - PALMITAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
VDA. LA GABRIELA S.C.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0
VDA. LA HERRADURA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
VDA. LA ILUSION S.C.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
VDA. LA LAGUNA STA. E.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
VDA. LA PALMA S.C.,0.0,0.0,1.0,2.0,0.0,3.0,0.0,3.0,1.0,3.0,0.0
VDA. LA SUIZA - PALMITAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
VDA. LA URQUITA - PALMITAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
VDA. LA VERDE S.A.P.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDA. LAS PALMAS STA. E.,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,0.0
VDA. LAS PLAYAS S.A.P.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VDA. LAS PLAYAS S.C.,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
VDA. MATASANOS STA. E.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
VDA. MEDIA LUNA LAS PALMAS STA. E.,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0
VDA. MEDIA LUNA PARTE ALTA STA. E.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0
VDA. MERCEDES ABREGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
VDA. PAJARITO S.C.,0.0,0.0,5.0,4.0,0.0,4.0,3.0,17.0,8.0,39.0,0.0
VDA. PEDREGAL ALTO S.C.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,14.0,0.0
VDA. PEDREGAL BAJO S.C.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
